Lyrics,Mood
"Le stelle sono buchi nel cielo
Da cui filtra la luce dell'infinito
Questo si credeva ancora
Quando loro 7 
L'uno dopo l'altro
Fondarono la piu grande potenza 
Di tutti i tempi

ROMA!!

Roma
Roma
I sette re di roma

Romolo 
Numa Pompilio 
Tullo Ostilio
Anco Marzio 
Tarquinio Prisco 
Servio Tullio 
Tarquinio il Superbo

Romolo 
Numa Pompilio 
Tullo Ostilio
Anco Marzio 
Tarquinio Prisco 
Servio Tullio 
Tarquinio il Superbo

I sette re di roma",Happy
"Amore mio .. Non sai quante volte ho sognato.. Che lei stesse distante da noi…
Ma poi si è intromessa.. ed ha rovinato tutto

Tu.. Vivi nell'aria.. Tu.. Vivi dentro al mio cuore
Tu… Sei più importante.. Di quella ragazza amore
Tu.. Vivi nell'aria.. Tu.. Vivi dentro al mio cuore
Tu... SEI Il MIO AMORE

Tu.. Vivi nell'aria.. Tu.. Vivi dentro al mio cuore
Lei.. Lascia che dica.. Lei.. Non sa cos'è l'amore
Lascia pure che ti parli male di me.. Forse quel che vuole e solo avermi con se…
Tu.. Vivi nell'aria.. Tu.. Vivi dentro al mio cuore
Lei.. Lascia che dica.. Lei.. Non sa cos'è l'amore
Tu.. Vivi nell'aria.. Tu.. Vivi dentro al mio

Ormai noi due non stiamo più insieme
Non siamo tranquilli per colpa sua
Lascia amore che ti dica una cosa, io voglio solo restare con te, perchè :
Tu vivi nell aria, tu vivi dentro il mio cuore, tu sei piu importate di quella ragazza amore
Tu vivi nell aria tu vivi dentro al mio cuore...tu sei il mio amore
Tu vivi nell aria tu vivi dentro al mio cuore
Lei lascia che dica, lei non sa cos'è l'amore. lascia pure che ti parli male di me
Forse quel che vuole è solo avermi con se
Tu vivi nell aria tu vivi dentro al mio cuore, lei lascia che dica
Lei non sa cos'è l'amore. Lascia pure che ti parli male di me
Forse quel che vuole è solo avermi con se",Sad
"Piansero le deboli stelle
Tre angeli dipinti d'inverno
Fu il funerale delle rose
Ma nessuna lacrima le svegliâ 

E gli occhi pensarono al silenzio
Che giaceva sulle labbra di cera
Per sempre 

E le ali di neve
Di tenebra imperlate
Mai pié gridarono al cielo
Di fermare
La morte 

Porteremo il nostro segreto lontano",Happy
"Notte profonda senza luce in città
Le strade vuote e la gente chiusa dentro ai bar 
Niki decide un colpo buono da fare 
Siam tutti pronti con fucile e caricatore.
Mi rendo conto che non serve bussare
Lucio ha deciso la porta vuole sfondare
Appena entrati ci sentiamo osservati
Rocco fa finta di essere bene educato 
Marcello prende dalla tasca un coltello 
Vittorio ed Emilio combinano un gran bordello
Davide sorride, paura lui fa Dai si fa un colpo,
Siamo la Bandagaska'! 
Prendo le stelle, le caramelle, lo zucchero filato Sai tutto mi è dovuto, poi faccio un passo, rubo l'incasso e il portafogli all'uomo più basso… 
RIT: Mani in alto, questa è una rapina La rivoltella salda nella mano destra, mani in alto, questa è una rapina la rivoltella salda nella mano destra. 
Saliamo in fretta sull'Alfetta che và 
Due vanno a piedi l'auto non ce la fa 
Una via d'uscita dietro non ci sarà 
Mi sono perso riprendo per la città, 
Dietro gli sbirri che non voglio mollare, 
Quel marciapiede là non ci doveva stare,
L'auto s'impenna…(Oh! Ma quelli a piedi?) E' fatto il colpo!
Siamo la Bandagaska'!
Prendo le stelle…
RIT: Mani in alto, questa",Sad
"Emi non andare via,
Io sono ancora qua,
Con la malinconia,
E non so se passerà,
Perché non so se ti risentirò
Ma il telefono no, no, no…
Emi cara mia,
Io non ti scorderò,
T'ho scritto una poesia,
Che non ti canterò,
Perché non so se ti risentirò ma il telefono no, no, no…
Passerà, passerà,
Una storia uguale c'è già
Passerà, una storia uguale c'è già… (2 v)
Ho letto un tuo messaggio,
Era triste ed ora so,
Che se mi chiami amore da te ritornerò 
Perché non so…
Passerà, passerà…
Ma tu sei lontana,
Ti sento un po' strana,
Non credo però
Che non hai bisogno di un mio sospiro,
Di una parola
Non piangere no,
Mi fai del male non posso restare,
È andata a puttane sta' storia lo so…
Passerà, passerà",Sad
"Lasciatemi sognare, ho voglia di dormire, adesso ho mal di testa ti chiudo e dico basta, ho preso un tranquillante, mi vedo serpente la donna mutante, il virus dell'oriente, una camomilla, per moglie una birra, lo stereo a tutta palla, la pasta con la S.A.R.S. Cercate di capire, non so che cosa dire, se provo a ricordare riprendo a sognare, tutto inventato, mi son confidato, il testo è malato, lo scrivo annoiato, ma i sogni senza fine dove tocco le veline, dimmelo anche tu col tatuaggio indù… Quanti sogni ho nella mia testa, per ricordarli ho fatto una lista, guardo un film, adesso dico basta, ma se ripassi mi affaccio alla finestra (2 v) Lasciatemi cantare con la chitarra in mano, mi prude la testa ho i capelli rasta, riprendo un tranquillante, Bin Laden latitante, la guerra in Medio Oriente, Maradona presidente, una camomilla, per moglie una birra, lo stereo a tutta palla, la pasta con la S.A.R.S. Quanti sogni ho nella mia testa… (2 v) Quanti sogni ho dentro di me, non resisto però, che strana vita nell'aldilà, all'alba finirà… (3 v) Quanti sogni ho nella mia testa… Quanti sogni ho dentro di me, all'alba finirà",Sad
"Che cosa mi manca
Se finisce il vento 
Vola via il pensiero Che si perde morendo
E provo a sperare
In un futuro migliore 
Ma guardo il sole E non vedo la luce
Noi (noi) noi non siamo in America (4 v)
Apro gli occhi e vedo questa noiosa città (4 v) 
L'asfalto fiorisce 
E l'erba poi cresce 
Con la faccia bagnata Da questa inutile pioggia 
Ormai questa gente 
Non sente più niente
Con lo sguardo di chi Ti vuole ferire
Noi (noi) noi non siamo in America (4 v)
Apro gli occhi e vedo questa noiosa città (4 v) 
SAX SOLO… 
Noi",Happy
"Se solo sapessi ridere soffrendo, salverei me stesso, sole spento sogno infranto, ultimo soffio di vento. E' stata colpa mia, solo colpa mia E in un attimo lei è volata via, ho di lei un soffio nel cuore, ho di lei mille parole, ho deciso io la chiamerò, la chiamerò: soffio di vento… Se solo sapessi ridere soffrendo… E' stata colpa mia, solo colpa mia E in un attimo lei è volata via, ho di lei un soffio nel cuore, ho di lei mille parole, ho deciso io la chiamerò, la chiamerò: soffio di vento… Se solo sapessi ridere soffrendo… (2 v) Se te ne parlo io tu raccogli i miei lamenti, cerca di capire donna adesso tu mi senti, per cercare un'emozione basta solo aprire il cuore, sei scomparsa come un fiore prim'ancora di sbocciare. Se solo sapessi ridere soffrendo… (2 v)",Sad
"En la lucha que se llama la vida
Solo hay un ganador
Pero en el camino a la gran despedida
Puedes vivir con honor si senor
No es facil le digo a mi gente
De mi experiencia caminos delincuentes
Sangre caliente me domina derrepente
Un fuego potente candela mi mente
Echapalante que para atras no se va
Aqui sigo en este camino
Buscando y peliando para quedarme fijo
Imaginando un grial del destino
Pero en esta carretera hay peligro
Sigo y sigo haciendo lo mio
Con dos manos en el timon a delante mio
Como dice mi abuelo escucha bien mijo
Echapalante el futuro es tuyo
Echapalante que para atras no se va
Echapalante es la unica manera
Echapalante que para atras no se va
Echapalante es la unica manera para mi
Es la unica manera para mi para ti
Para todos en la lucha para sobrevivir
De la experiencia nace el honor
Con buenas o malas aprendemos nuestro valor
Echapalante que para atras no se va
Echapalante con fuerza
Echapalante que para atras no se va
Echapalante es la unica manera para mi",Sad
"Estoy lleno de veneno
Con mi mordida yo te infecto
Si vives es suerte de dios
Los ángeles están contigo
Tiene que ser por que mi veneno es muy fuerte
Destruye todo y enferma a la gente
Si no hay cura es muerte

Libérame
de esta inminente fatalidad

no te enredes en esta tela
yo destruyo a cualquiera
yo una fiera araña muy fea
si te fascino no lo creas

mis acciones a veces defensivas
pueden hacerle daño a quien me mira
ten cuidado mi veneno es muy fuerte
si no hay cura es muerte

Libérame
de esta inminente fatalidad
libera
delante de la araña

libérame!!!

Me quiero liberar de este destino
Y la única manera es ser un asesino
Mata la enfermedad mata la araña
No es mala suerte
Me salvaré la vida

Libérame

Libera
De esta inminente fatalidad
Libérame
Delante de la araña",Sad
